,Point.Forecast,Lo.90,Hi.90
01-01-23,19,11.85181046,25.25539138
02-01-23,18,11.4945143,25.08698091
03-01-23,16,8.918965181,23.0276384
04-01-23,14,6.428098425,20.72292745
05-01-23,11,3.327750206,17.73900108
06-01-23,10,3.170750331,17.64934538
07-01-23,12,5.03691102,19.55501511
08-01-23,2,-5.606716315,8.934564829
09-01-23,0,-7.078131493,7.476761185
10-01-23,0,-7.128606745,7.434283706
11-01-23,11,3.833403901,18.40099509
12-01-23,21,14.20269355,28.77304812
01-01-24,18,10.27392508,24.8459043
02-01-24,17,9.713377886,24.28631234
03-01-24,10,2.753774596,17.32727071
04-01-24,13,5.567160369,20.14098674
05-01-24,11,3.693817522,18.26783808
06-01-24,10,2.699204247,17.27333899
07-01-24,12,4.683910088,19.25811197
08-01-24,1,-5.872376753,8.701864607
09-01-24,0,-7.278893637,7.295370938
10-01-24,0,-7.280821556,7.293456669
11-01-24,11,3.717701298,18.29198755
12-01-24,13,6.114569312,20.68886028
01-01-25,15,7.715701705,22.28999545
02-01-25,17,9.715036656,24.28933203
03-01-25,15,7.714526829,22.28882317
04-01-25,16,8.71413597,23.28843287
05-01-25,12,4.713836302,19.28813354
06-01-25,9,1.71360654,16.28790397
07-01-25,0,-7.286569628,7.287727916
08-01-25,0,-7.286704707,7.287592904
09-01-25,0,-7.286808282,7.287489369
10-01-25,0,-7.286887702,7.287409972
11-01-25,18,10.7130514,25.28734909
12-01-25,18,10.7130047,25.2873024
01-01-26,18,10.5799689,25.1542666
02-01-26,16,8.413941438,22.98823914
03-01-26,10,2.869920383,17.44421809
04-01-26,11,3.545904238,18.12020194
05-01-26,9,1.672891858,16.24718956
06-01-26,6,-1.587117635,12.98718007
07-01-26,0,-7.141124915,7.433172793
08-01-26,0,-7.287130497,7.287167211
09-01-26,0,-7.287134777,7.28716293
10-01-26,0,-7.28713806,7.287159648
11-01-26,11,3.215859423,17.79015713
12-01-26,19,11.56185749,26.1361552
