,Point.Forecast,Lo.95,Hi.95
Jan-22,40,37.50565316,43.00816585
Feb-22,38,34.64960157,41.35030211
Mar-22,16,13.14962039,19.85032093
Apr-22,11,8.149632573,14.85033311
May-22,9,5.649638693,12.35033923
Jun-22,1,-1.850354434,4.850346107
Jul-22,0,-3.350350792,3.35034975
Aug-22,0,-3.350350271,3.350350271
Sep-22,0,-3.350352528,3.350348013
Oct-22,6,3.149631937,9.850332478
Nov-22,38,34.64960493,41.35030547
Dec-22,41,37.64959159,44.35029213
Jan-23,41,38.14959176,44.8502923
Feb-23,38,34.64960175,41.35030229
Mar-23,16,12.649621,19.35032154
Apr-23,11,7.649633043,14.35033358
May-23,9,5.649638719,12.35033926
Jun-23,1,-1.850354581,4.85034596
Jul-23,0,-3.350350791,3.35034975
Aug-23,0,-3.350350271,3.350350271
Sep-23,0,-3.350352528,3.350348013
Oct-23,6,3.149630748,9.850331289
Nov-23,41,37.64960242,44.35030296
Dec-23,42,39.10296939,45.68132462
Jan-24,40,36.50789739,42.8253794
Feb-24,36,33.1745614,39.49204333
Mar-24,16,12.84124045,19.15872237
Apr-24,11,7.50791505,13.82539698
May-24,9,5.507918774,11.8254007
Jun-24,1,-1.825410328,4.492071599
Jul-24,0,-3.158741272,3.158740655
Aug-24,0,-3.158740964,3.158740964
Sep-24,0,-3.15874243,3.158739497
Oct-24,6,3.174581133,9.49206306
Nov-24,37,33.84123037,40.1587123
Dec-24,38,34.50788836,40.82537029
Jan-25,41,37.79642083,44.37477623
Feb-25,38,34.64960124,41.35030244
Mar-25,16,13.14962006,19.85032126
Apr-25,11,8.149632243,14.85033344
May-25,9,5.649638363,12.35033956
Jun-25,1,-1.850354763,4.850346437
Jul-25,0,-3.350351121,3.350350079
Aug-25,0,-3.3503506,3.3503506
Sep-25,0,-3.350352857,3.350348343
Oct-25,6,3.149631608,9.850332808
Nov-25,38,34.6496046,41.3503058
Dec-25,41,37.64959126,44.35029246
